Title,Year,Certificate,Length,Genre,Rating
Newsies,1992,PG,121,"Drama, Family, History            ",6.9
The Sure Thing,1985,PG-13,95,"Comedy, Drama, Romance            ",7.0
My Blue Heaven,1990,PG-13,97,"Comedy, Crime            ",6.2
Autumn Sonata,1978,PG,99,"Drama, Music            ",8.1
Margot at the Wedding,2007,R,91,"Comedy, Drama            ",6.0
The Numbers Station,2013,R,89,"Action, Thriller            ",5.6
Sommersby,1993,PG-13,114,"Drama, Mystery, Romance            ",6.2
Darr,1993,Not Rated,178,"Action, Drama, Romance            ",7.6
The Glimmer Man,1996,R,91,"Action, Comedy, Crime            ",5.4
Son of God,2014,PG-13,138,"Biography, Drama, History            ",5.7
The Big Red One,1980,R,113,"Drama, War            ",7.1
Tomcats,2001,R,95,Comedy            ,5.3
The Tunnel,2011,Not Rated,94,"Horror, Mystery, Thriller            ",5.8
The Butterfly Effect 3: Revelations,2009,R,90,"Crime, Sci-Fi, Thriller            ",5.6
Deadgirl,2008,R,101,Horror            ,5.5
Cadillac Records,2008,R,109,"Biography, Drama, Music            ",7.0
Excision,2012,Not Rated,81,"Comedy, Drama, Horror            ",6.1
Blood and Chocolate,2007,PG-13,98,"Drama, Fantasy, Horror            ",5.3
Saving Grace,2000,R,93,"Comedy, Crime            ",6.9
Courageous,2011,PG-13,129,Drama            ,6.9
Victor/Victoria,1982,PG,134,"Comedy, Music, Romance            ",7.6
Devils Pass,2013,R,100,"Horror, Mystery, Thriller            ",5.7
The Burning Plain,2008,R,107,"Crime, Drama, Mystery            ",6.7
The Quiet Ones,2014,PG-13,98,"Horror, Mystery, Thriller            ",5.1
The Corruptor,1999,R,110,"Action, Crime, Thriller            ",6.1
Divine Secrets of the Ya-Ya Sisterhood,2002,PG-13,116,Drama            ,6.1
The Last Station,2009,R,112,"Biography, Drama, Romance            ",6.9
Christiane F.,1981,R,138,"Biography, Drama            ",7.5
Pledge This!,2006,R,91,Comedy            ,1.7
Paper Man,2009,R,110,"Comedy, Drama            ",6.5
Zorba the Greek,1964,Not Rated,142,"Comedy, Drama            ",7.6
Fletch Lives,1989,PG,95,"Comedy, Crime, Mystery            ",6.1
Akeelah and the Bee,2006,PG,112,"Drama, Family            ",7.4
Oceans Eleven,1960,Approved,127,"Comedy, Crime, Music            ",6.5
The Ten,2007,R,96,"Comedy, Romance            ",4.9
How to Marry a Millionaire,1953,Not Rated,95,"Comedy, Drama, Romance            ",6.8
Sarfarosh,1999,Not Rated,174,"Action, Crime, Drama            ",8.1
Tommy,1975,PG,111,"Drama, Musical            ",6.6
99 Homes,2014,R,112,"Crime, Drama            ",7.1
The Beastmaster,1982,PG,118,"Action, Adventure, Fantasy            ",6.2
Funny Farm,1988,PG,101,Comedy            ,6.2
Family Plot,1976,PG,120,"Comedy, Crime, Drama            ",6.8
Texas Chainsaw Massacre: The Next Generation,1994,R,87,"Comedy, Horror, Thriller            ",3.3
Hud,1963,Passed,112,"Drama, Western            ",7.8
Wishmaster,1997,R,90,"Fantasy, Horror            ",5.8
Think Like a Man Too,2014,PG-13,106,"Comedy, Romance            ",5.7
2 States,2014,Not Rated,149,"Comedy, Drama, Romance            ",6.9
Horror of Dracula,1958,Not Rated,82,"Drama, Horror            ",7.2
Chocolate,2008,R,110,"Action, Drama            ",6.9
Pokémon the Movie 2000,1999,G,99,"Animation, Action, Adventure            ",6.1
Le Havre,2011,Not Rated,93,"Comedy, Drama            ",7.2
The Cutting Edge,1992,PG,101,"Comedy, Drama, Romance            ",6.9
Storytelling,2001,R,87,"Comedy, Drama, Romance            ",6.8
Lovers of the Arctic Circle,1998,R,112,"Drama, Mystery, Romance            ",7.6
Roger Dodger,2002,R,106,"Comedy, Drama            ",6.9
Quigley Down Under,1990,PG-13,119,"Action, Adventure, Drama            ",6.9
Into the White,2012,R,104,"Action, Biography, Drama            ",7.1
Big Miracle,2012,PG,107,"Biography, Drama, Romance            ",6.5
99 Francs,2007,PG-13,100,"Comedy, Drama            ",7.2
Hamlet 2,2008,R,92,"Comedy, Music            ",6.3
Dead Presidents,1995,R,119,"Action, Crime, Drama            ",6.9
The Muppets Take Manhattan,1984,G,94,"Adventure, Comedy, Drama            ",6.8
Willard,2003,PG-13,100,"Drama, Horror, Thriller            ",6.1
Everybody Wants Some!!,2016,R,117,Comedy            ,6.9
Salvador,1986,R,122,"Drama, History, Thriller            ",7.4
Marked for Death,1990,R,93,"Action, Crime, Drama            ",5.9
The Ex,2006,PG-13,89,"Comedy, Romance            ",5.4
The Taking of Deborah Logan,2014,R,90,"Horror, Mystery, Thriller            ",6.0
City Slickers II: The Legend of Curlys Gold,1994,PG-13,116,"Comedy, Western            ",5.6
Through a Glass Darkly,1961,Not Rated,90,Drama            ,7.9
Just Visiting,2001,PG-13,88,"Adventure, Comedy, Fantasy            ",5.7
Gerry,2002,R,103,"Adventure, Drama, Mystery            ",6.0
High Anxiety,1977,PG,94,"Comedy, Mystery, Thriller            ",6.6
Flirting with Disaster,1996,R,92,Comedy            ,6.7
Slacker,1990,R,97,"Comedy, Drama            ",7.0
Eight Men Out,1988,PG,119,"Drama, History, Sport            ",7.2
Swing Vote,2008,PG-13,120,"Comedy, Drama            ",6.1
Rampage,2009,R,85,"Action, Crime, Thriller            ",6.2
It Takes Two,1995,PG,101,"Comedy, Family, Romance            ",5.9
Cracks,2009,R,104,"Drama, Thriller            ",6.6
Little Black Book,2004,PG-13,107,"Comedy, Drama, Romance            ",5.3
Made,2001,R,95,"Comedy, Crime, Drama            ",6.3
Like Mike,2002,PG,99,"Comedy, Family, Fantasy            ",5.4
Nobodys Fool,1994,R,110,"Comedy, Drama            ",7.3
Superstar,1999,PG-13,81,"Comedy, Romance            ",5.2
Head of State,2003,PG-13,95,Comedy            ,5.5
Restless,2011,PG-13,91,"Drama, Romance            ",6.7
My Life in Ruins,2009,PG-13,95,"Comedy, Romance            ",5.9
In Hell,2003,R,98,"Action, Drama, Thriller            ",6.1
A Place in the Sun,1951,Passed,122,"Drama, Romance            ",7.7
Zoom,2006,PG,83,"Action, Adventure, Comedy            ",4.4
Management,2008,R,94,"Comedy, Drama, Romance            ",5.8
The Red Circle,1970,Not Rated,140,"Crime, Drama, Thriller            ",7.9
Madras Cafe,2013,Not Rated,130,"Action, Drama, Thriller            ",7.6
We Are What We Are,2013,R,105,"Drama, Horror, Thriller            ",5.9
My Girl 2,1994,PG,99,"Comedy, Drama, Family            ",5.3
Special Forces,2011,R,109,"Action, Drama, War            ",6.3
Diner,1982,R,110,"Comedy, Drama            ",7.1
Where the Truth Lies,2005,R,107,"Crime, Mystery, Thriller            ",6.4
The Order,2003,R,102,"Horror, Mystery, Thriller            ",5.1
Meet Me in St. Louis,1944,Passed,113,"Comedy, Drama, Family            ",7.5
The Bélier Family,2014,R,106,"Comedy, Drama, Music            ",7.3
The Beyond,1981,Not Rated,87,Horror            ,6.6
Happy Together,1997,Not Rated,96,"Drama, Romance            ",7.7
Mr. Deeds Goes to Town,1936,PG-13,115,"Comedy, Drama, Romance            ",7.8
The Concert,2009,R,119,"Comedy, Drama, Music            ",7.5
Suicide Club,2001,Not Rated,99,"Crime, Drama, Horror            ",6.5
The Umbrellas of Cherbourg,1964,R,91,"Drama, Musical, Romance            ",7.8
The Lover,1992,R,115,"Biography, Drama, Romance            ",6.8
Paranormal Activity: The Ghost Dimension,2015,PG-13,88,"Horror, Mystery            ",4.6
Drive Me Crazy,1999,R,91,"Comedy, Drama, Romance            ",5.8
Art School Confidential,2006,PG-13,102,"Comedy, Drama, Romance            ",6.3
The Passenger,1975,PG,126,"Drama, Thriller            ",7.5
The Shaggy Dog,2006,TV-MA,98,"Comedy, Family, Fantasy            ",4.4
Rurouni Kenshin Part I: Origins,2012,TV-PG,134,"Action, Adventure, Drama            ",7.4
A Christmas Carol,1951,R,86,"Drama, Family, Fantasy            ",8.1
Jumpin Jack Flash,1986,Not Rated,105,"Comedy, Romance, Thriller            ",5.9
Cockneys vs Zombies,2012,R,88,"Action, Comedy, Horror            ",5.9
Mistress America,2015,PG-13,84,"Comedy, Drama            ",6.7
Young Sherlock Holmes,1985,Not Rated,109,"Adventure, Fantasy, Mystery            ",6.8
Knife in the Water,1962,PG,94,"Drama, Thriller            ",7.4
Bratz,2007,R,110,"Comedy, Family, Music            ",3.1
Sleepwalkers,1992,PG,91,"Fantasy, Horror            ",5.3
Meatballs,1979,R,94,Comedy            ,6.2
Supercop,1992,R,91,"Action, Comedy, Crime            ",6.9
Trade,2007,R,120,"Crime, Drama, Thriller            ",7.3
Anna,2013,R,99,"Drama, Mystery, Sci-Fi            ",6.4
Surveillance,2008,Not Rated,97,"Crime, Drama, Mystery            ",6.3
Gabbar Is Back,2015,PG-13,128,"Action, Crime, Drama            ",7.1
Austenland,2013,R,97,"Comedy, Romance            ",6.3
Franklyn,2008,Approved,98,"Drama, Fantasy, Sci-Fi            ",6.0
Fail Safe,1964,R,112,"Drama, Thriller            ",8.0
From Beyond,1986,R,85,"Horror, Sci-Fi            ",6.6
Zardoz,1974,PG,105,"Adventure, Fantasy, Sci-Fi            ",5.8
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,Not Rated,143,"Adventure, Drama            ",6.4
Them!,1954,R,94,"Horror, Sci-Fi            ",7.2
Quarantine 2: Terminal,2011,PG-13,86,"Horror, Sci-Fi, Thriller            ",5.2
Country Strong,2010,PG,117,"Drama, Music            ",6.3
A Midsummer Nights Sex Comedy,1982,Not Rated,88,Comedy            ,6.6
13,2005,R,93,"Crime, Drama, Thriller            ",7.3
Iris,2001,PG-13,91,"Biography, Drama, Romance            ",7.0
Anywhere But Here,1999,R,114,"Comedy, Drama            ",6.2
The Sons Room,2001,Not Rated,99,Drama            ,7.3
Rowdy Rathore,2012,R,140,"Action, Comedy, Crime            ",5.8
Casino Jack,2010,R,108,"Biography, Comedy, Crime            ",6.2
The Riot Club,2014,R,107,"Drama, Thriller            ",6.0
Purple Rain,1984,R,111,"Drama, Music, Romance            ",6.5
That Obscure Object of Desire,1977,PG-13,103,"Comedy, Drama, Romance            ",7.8
Wing Commander,1999,PG,100,"Action, Adventure, Sci-Fi            ",4.3
Millennium Actress,2001,PG-13,87,"Animation, Drama, Fantasy            ",7.8
First Strike,1996,R,107,"Action, Adventure, Comedy            ",6.6
Criminal,2016,Not Rated,113,"Action, Sci-Fi, Thriller            ",6.3
Army of Shadows,1969,R,145,"Drama, War            ",8.1
Kidulthood,2006,PG,89,"Crime, Drama, Romance            ",6.7
The Duellists,1977,R,100,"Drama, War            ",7.4
Higher Learning,1995,R,128,"Crime, Drama, Thriller            ",6.5
The Delta Force,1986,R,125,"Action, Adventure, Drama            ",5.6
The Purge: Election Year,2016,Not Rated,108,"Action, Horror, Sci-Fi            ",6.0
Flickering Lights,2000,PG-13,109,"Action, Comedy, Crime            ",7.5
The Bachelor,1999,PG-13,101,"Comedy, Romance            ",5.0
Out Cold,2001,R,89,"Comedy, Sport            ",6.2
High-Rise,2015,R,119,"Drama, Sci-Fi            ",5.5
Ripleys Game,2002,G,110,"Crime, Drama, Mystery            ",6.6
Muppets from Space,1999,PG-13,87,"Adventure, Comedy, Family            ",6.2
So Undercover,2012,PG,94,"Action, Comedy, Crime            ",5.0
Pom Poko,1994,R,119,"Animation, Comedy, Drama            ",7.3
Flawless,1999,PG-13,112,"Crime, Drama            ",6.4
Supernova,2000,R,90,"Horror, Sci-Fi, Thriller            ",4.8
The Hoax,2006,R,116,"Biography, Comedy, Drama            ",6.7
Texas Killing Fields,2011,R,105,"Crime, Drama, History            ",5.7
Cooties,2014,R,88,"Action, Comedy, Horror            ",5.7
Cuban Fury,2014,R,98,"Comedy, Romance, Sport            ",6.2
A Haunted House 2,2014,R,86,"Comedy, Fantasy, Horror            ",4.7
Latter Days,2003,G,107,"Comedy, Drama, Romance            ",7.0
Gigi,1958,Unrated,115,"Comedy, Musical, Romance            ",6.6
My Life as a Dog,1985,PG-13,101,"Drama, Comedy            ",7.6
Lean on Me,1989,R,108,Drama            ,7.4
East Is East,1999,R,96,"Comedy, Drama            ",6.9
Empire State,2013,Not Rated,94,"Action, Crime, Thriller            ",5.2
Rabbit Without Ears,2007,R,116,"Comedy, Romance            ",6.5
Tosun Pasa,1976,Not Rated,90,Comedy            ,8.9
Demons,1985,PG-13,88,Horror            ,6.6
Blood Ties,2013,Not Rated,127,"Action, Crime, Drama            ",6.5
Baise-moi,2000,R,77,"Crime, Drama, Thriller            ",4.4
Diana,2013,PG-13,113,"Biography, Drama, Romance            ",5.6
"One, Two, Three",1961,PG,104,Comedy            ,7.9
The Hard Way,1991,R,111,"Action, Comedy, Crime            ",6.3
The Starving Games,2013,PG,83,"Adventure, Comedy, Sci-Fi            ",3.2
Kurtlar Vadisi: Irak,2006,PG-13,122,"Action, Drama, War            ",5.7
Explorers,1985,Not Rated,109,"Adventure, Comedy, Family            ",6.4
Night of the Creeps,1986,PG-13,88,"Comedy, Horror, Sci-Fi            ",6.7
Day for Night,1973,R,116,"Comedy, Drama, Romance            ",8.0
Honeymoon in Vegas,1992,PG-13,96,"Comedy, Romance, Thriller            ",5.9
Harley Davidson and the Marlboro Man,1991,R,98,"Action, Crime, Drama            ",6.1
3:10 to Yuma,1957,Not Rated,92,"Drama, Thriller, Western            ",7.6
The Beverly Hillbillies,1993,PG,92,"Comedy, Family            ",5.0
I Confess,1953,Not Rated,95,"Crime, Drama, Thriller            ",7.2
The Sacrifice,1986,PG,149,Drama            ,7.9
Kikujiro,1999,PG-13,122,"Drama, Comedy            ",7.7
The Adventures of Ford Fairlane,1990,R,104,"Action, Adventure, Comedy            ",6.4
Children of Paradise,1945,Not Rated,189,"Drama, Romance            ",8.3
The Lady Eve,1941,Passed,94,"Comedy, Romance            ",7.7
Barfly,1987,R,100,"Comedy, Drama, Romance            ",7.1
Ninotchka,1939,Not Rated,110,"Comedy, Romance            ",7.8
Spring,2014,Not Rated,109,"Horror, Romance, Sci-Fi            ",6.7
The Child,2005,R,95,"Crime, Drama, Romance            ",7.4
Catch .44,2011,R,94,"Action, Thriller            ",4.6
Harlem Nights,1989,R,116,"Comedy, Crime, Drama            ",6.1
Taste of Cherry,1997,Not Rated,95,Drama            ,7.7
I Could Never Be Your Woman,2007,PG-13,97,"Comedy, Drama, Romance            ",6.0
Certified Copy,2010,Not Rated,106,"Drama, Romance            ",7.2
Trash,2014,R,114,"Adventure, Crime, Drama            ",7.1
The Green Butchers,2003,R,100,"Comedy, Drama            ",7.2
Less Than Zero,1987,R,98,"Crime, Drama            ",6.4
Nightbreed,1990,R,102,"Action, Fantasy, Horror            ",6.5
The Emperors Club,2002,PG-13,109,Drama            ,6.9
Hellraiser: Bloodline,1996,R,85,"Horror, Sci-Fi            ",5.1
Renaissance,2006,R,105,"Animation, Action, Sci-Fi            ",6.6
The Informers,2008,R,98,"Crime, Drama, Thriller            ",4.9
Hercules in New York,1970,G,92,"Adventure, Comedy, Fantasy            ",3.3
Serving Sara,2002,PG-13,99,"Comedy, Romance            ",5.3
Killing Me Softly,2002,R,100,"Drama, Mystery, Romance            ",5.4
Flash of Genius,2008,PG-13,119,"Biography, Drama            ",7.0
Tetsuo: The Iron Man,1989,Not Rated,67,"Horror, Sci-Fi            ",6.9
The Children,2008,R,84,"Horror, Mystery, Thriller            ",5.9
Love & Basketball,2000,PG-13,124,"Drama, Romance, Sport            ",7.2
Tenebrae,1982,R,101,"Drama, Horror, Mystery            ",7.0
Extraordinary Measures,2010,PG,106,Drama            ,6.4
Bad Day at Black Rock,1955,Passed,81,"Crime, Drama, Mystery            ",7.7
The Son of No One,2011,R,90,"Action, Crime, Drama            ",5.1
Monkeybone,2001,PG-13,93,"Comedy, Fantasy            ",4.8
Resident Evil: Damnation,2012,R,100,"Animation, Action, Horror            ",6.4
Supergirl,1984,PG,124,"Action, Adventure, Fantasy            ",4.4
Ugetsu,1953,Not Rated,96,"Drama, Fantasy, War            ",8.2
"Whats Up, Doc?",1972,G,94,"Comedy, Romance            ",7.7
Flame & Citron,2008,Not Rated,130,"Action, Drama, History            ",7.2
Three Monkeys,2008,Not Rated,109,Drama            ,7.3
How the West Was Won,1962,G,164,"Adventure, War, Western            ",7.0
Kiss of Death,1995,R,101,"Crime, Drama, Thriller            ",5.9
The Long Good Friday,1980,R,114,"Crime, Drama, Mystery            ",7.6
Dobermann,1997,R,103,"Action, Comedy, Crime            ",6.5
Heaven Can Wait,1978,PG,101,"Comedy, Fantasy, Romance            ",6.9
Last Year at Marienbad,1961,Not Rated,94,"Drama, Mystery            ",7.7
Pacific Heights,1990,R,102,Thriller            ,6.4
One Missed Call,2003,R,112,"Horror, Mystery            ",6.2
Cat People,1982,R,118,"Fantasy, Horror, Thriller            ",6.2
The Eagle Has Landed,1976,PG,123,"Adventure, Drama, Thriller            ",6.9
Hell Ride,2008,R,84,"Action, Drama, Thriller            ",5.0
Russian Ark,2002,Not Rated,99,"Drama, Fantasy, History            ",7.2
Dil To Pagal Hai,1997,Not Rated,180,"Comedy, Drama, Musical            ",7.0
The Boxer,1997,R,113,"Drama, Romance, Sport            ",7.0
Infamous,2006,R,110,"Biography, Crime, Drama            ",7.0
A Guy Thing,2003,PG-13,101,"Comedy, Romance            ",5.6
Outpost,2008,R,90,"Action, Horror, Sci-Fi            ",5.8
The ABCs of Death,2012,Not Rated,129,"Comedy, Horror            ",4.7
Birdemic: Shock and Terror,2010,Not Rated,105,"Horror, Thriller            ",1.7
Piranha,1978,R,94,"Comedy, Horror, Sci-Fi            ",5.9
Return to the Blue Lagoon,1991,PG-13,102,"Adventure, Drama, Romance            ",5.1
The Ultimate Gift,2006,PG,114,"Drama, Family, Romance            ",7.3
The Getaway,1994,R,115,"Action, Adventure, Crime            ",5.8
Exotica,1994,R,103,Drama            ,7.0
A Walk in the Woods,2015,R,104,"Adventure, Biography, Comedy            ",6.4
Extreme Measures,1996,R,118,"Crime, Drama, Mystery            ",6.2
Fame,2009,PG,107,"Drama, Musical, Romance            ",5.0
Kissing Jessica Stein,2001,R,97,"Comedy, Drama, Romance            ",6.6
The Oogieloves in the Big Balloon Adventure,2012,G,88,"Adventure, Family, Fantasy            ",1.7
Winter Light,1963,Not Rated,81,Drama            ,8.0
The Closet,2001,R,84,Comedy            ,7.0
The Postman Always Rings Twice,1946,Passed,113,"Crime, Drama, Film-Noir            ",7.4
Pumpkinhead,1988,R,86,"Fantasy, Horror            ",6.2
Interiors,1978,PG,92,Drama            ,7.3
Assassination of a High School President,2008,R,93,"Comedy, Crime, Mystery            ",6.2
I Am Love,2009,R,120,"Drama, Romance            ",7.0
The Final Conflict,1981,R,108,Horror            ,5.5
The Juror,1996,R,118,"Crime, Drama, Thriller            ",5.7
Kill Me Three Times,2014,R,90,"Action, Comedy, Crime            ",5.8
The Rugrats Movie,1998,G,79,"Animation, Adventure, Comedy            ",5.9
Feast of Love,2007,R,97,"Drama, Romance            ",6.5
Being Flynn,2012,R,102,Drama            ,6.4
Kabhi Alvida Naa Kehna,2006,Not Rated,193,"Drama, Romance            ",6.0
I Stand Alone,1998,Not Rated,93,"Crime, Drama, Thriller            ",7.3
Much Ado About Nothing,2012,PG-13,109,"Comedy, Drama, Romance            ",7.0
Reasonable Doubt,2014,R,91,"Crime, Drama, Mystery            ",5.7
Blank Check,1994,PG,93,"Comedy, Crime, Family            ",5.3
Shes the One,1996,R,96,"Comedy, Drama, Romance            ",6.0
Carandiru,2003,R,145,"Crime, Drama            ",7.6
Kiss Me Deadly,1955,Not Rated,106,"Crime, Film-Noir, Mystery            ",7.5
Silkwood,1983,R,131,"Biography, Drama, History            ",7.1
Once Upon a Time in China,1991,R,134,"Action, Adventure, Drama            ",7.2
Testament of Youth,2014,PG-13,129,"Biography, Drama, History            ",7.2
Süt Kardesler,1976,Not Rated,80,"Comedy, Family, Mystery            ",8.8
The Kentucky Fried Movie,1977,R,83,Comedy            ,6.4
The Fundamentals of Caring,2016,TV-MA,97,"Comedy, Drama            ",7.3
Devils Due,2014,R,89,"Horror, Mystery            ",4.2
Elevator to the Gallows,1958,Not Rated,91,"Crime, Drama, Thriller            ",7.9
Little Voice,1998,R,97,"Comedy, Drama, Music            ",7.0
Kinky Boots,2005,PG-13,107,"Comedy, Drama, Music            ",7.1
Desperate Measures,1998,R,100,"Action, Crime, Drama            ",6.1
Return of the Living Dead II,1988,R,89,"Comedy, Horror, Sci-Fi            ",5.7
Operation Condor,1991,PG-13,80,"Action, Adventure, Comedy            ",7.2
The Parent Trap,1961,Passed,129,"Comedy, Family, Romance            ",7.2
I Think I Love My Wife,2007,R,90,"Comedy, Drama, Romance            ",5.5
Smiley Face,2007,R,85,Comedy            ,5.8
The Stoning of Soraya M.,2008,R,114,Drama            ,7.9
The In-Laws,2003,PG-13,98,"Action, Comedy, Thriller            ",5.7
Ramona and Beezus,2010,G,103,"Comedy, Drama, Family            ",6.5
The Lazarus Project,2008,PG-13,100,"Drama, Mystery, Thriller            ",6.0
Eat Drink Man Woman,1994,Not Rated,124,"Comedy, Drama, Romance            ",7.8
Thursday,1998,R,87,"Action, Comedy, Crime            ",7.1
Look Whos Back,2015,Not Rated,116,"Comedy, Drama, Fantasy            ",7.0
Shrooms,2007,Not Rated,84,"Comedy, Horror, Mystery            ",4.6
Whos Your Caddy?,2007,PG-13,93,"Comedy, Sport            ",2.2
Renaissance Man,1994,PG-13,128,"Comedy, Drama            ",6.2
Death in Venice,1971,GP,130,"Drama, Romance            ",7.4
Santa Sangre,1989,NC-17,123,"Drama, Horror, Thriller            ",7.5
Devils Knot,2013,Not Rated,114,"Biography, Crime, Drama            ",6.1
Missing,1982,PG,122,"Biography, Drama, History            ",7.7
"OSS 117: Cairo, Nest of Spies",2006,Not Rated,99,"Action, Adventure, Comedy            ",7.0
Poison Ivy,1992,R,93,"Drama, Thriller            ",5.4
Dügün Dernek,2013,Not Rated,106,Comedy            ,6.9
The Trial,1962,R,119,"Drama, Mystery, Thriller            ",7.6
Life After Beth,2014,R,89,"Comedy, Fantasy, Horror            ",5.6
Just Before I Go,2014,Not Rated,95,"Comedy, Drama            ",6.3
The Onion Movie,2008,Not Rated,86,Comedy            ,6.2
Sultan,2016,Not Rated,170,"Action, Drama, Romance            ",7.0
Guru,2007,Passed,166,Drama            ,7.7
The Killers,1946,PG-13,103,"Crime, Drama, Film-Noir            ",7.7
Steamboy,2004,Not Rated,126,"Animation, Action, Adventure            ",6.8
Cold Prey,2006,R,97,"Horror, Thriller            ",6.2
The Girlfriend Experience,2009,R,77,Drama            ,5.5
Assassination Games,2011,R,101,"Action, Crime, Drama            ",6.1
A Woman Under the Influence,1974,Not Rated,155,"Drama, Romance            ",8.1
King of Devils Island,2010,G,116,"Action, Drama            ",7.5
They Call Me Trinity,1970,PG,115,"Comedy, Western            ",7.4
New York Stories,1989,R,124,"Comedy, Drama, Romance            ",6.4
Starbuck,2011,R,109,"Comedy, Drama, Romance            ",7.2
Intermission,2003,PG-13,105,"Comedy, Crime, Drama            ",6.8
Boys and Girls,2000,R,94,"Comedy, Drama, Romance            ",5.4
And Soon the Darkness,2010,PG,91,"Drama, Horror, Mystery            ",5.1
A Matter of Life and Death,1946,PG,104,"Drama, Fantasy, Romance            ",8.0
Canadian Bacon,1995,R,91,"Action, Comedy            ",5.9
Fire Down Below,1997,R,105,"Action, Drama, Thriller            ",5.1
The Guru,2002,Not Rated,94,"Comedy, Music, Romance            ",5.4
Point Blank,1967,R,92,"Crime, Drama, Thriller            ",7.3
Escobar: Paradise Lost,2014,G,120,"Crime, Drama, History            ",6.5
Babettes Feast,1987,PG,103,Drama            ,7.8
The Englishman Who Went Up a Hill But Came Down a Mountain,1995,Passed,99,"Comedy, Drama, Romance            ",6.6
The Stranger,1946,PG,95,"Crime, Drama, Film-Noir            ",7.3
Force 10 from Navarone,1978,PG,118,"Action, Drama, War            ",6.4
Midway,1976,G,132,"Action, Drama, History            ",6.7
Help!,1965,R,92,"Adventure, Comedy, Musical            ",7.1
Like Water for Chocolate,1992,R,105,"Drama, Romance            ",7.1
Queen Margot,1994,R,161,"Biography, Drama, History            ",7.4
Never Back Down 2: The Beatdown,2011,PG-13,99,"Action, Drama, Sport            ",5.7
Tracers,2015,Not Rated,94,"Action, Crime, Drama            ",5.6
Splendor in the Grass,1961,PG,124,"Drama, Romance            ",7.7
Home on the Range,2004,R,76,"Animation, Adventure, Comedy            ",5.4
Bring Me the Head of Alfredo Garcia,1974,PG,112,"Action, Crime, Drama            ",7.4
"New York, New York",1977,Not Rated,155,"Drama, Music, Musical            ",6.6
As It Is in Heaven,2004,Not Rated,133,"Comedy, Drama, Music            ",7.5
Fermats Room,2007,Passed,89,"Mystery, Thriller            ",6.6
Foreign Correspondent,1940,PG-13,120,"Action, Romance, Thriller            ",7.4
License to Drive,1988,Not Rated,88,Comedy            ,6.3
Pather Panchali,1955,R,125,Drama            ,8.2
Mrs. Henderson Presents,2005,Passed,103,"Comedy, Drama, Music            ",7.0
The Awful Truth,1937,Not Rated,90,"Comedy, Romance            ",7.7
Mon Oncle,1958,PG-13,116,Comedy            ,7.7
Manitous Shoe,2001,Not Rated,87,"Comedy, Western            ",6.7
The Last Exorcism Part II,2013,R,88,"Horror, Thriller            ",4.0
Lord of the Flies,1963,R,92,"Adventure, Drama, Thriller            ",6.9
Freedomland,2006,R,113,"Crime, Drama, Mystery            ",5.2
The Quiet,2005,R,96,"Crime, Drama, Thriller            ",6.1
In the Electric Mist,2009,Not Rated,117,"Crime, Drama, Mystery            ",6.1
The Door in the Floor,2004,R,111,"Comedy, Drama            ",6.6
Moby Dick,1956,R,116,"Adventure, Drama            ",7.3
Jungle Fever,1991,R,132,"Drama, Romance            ",6.6
Pet Sematary II,1992,PG,100,"Fantasy, Horror, Thriller            ",4.9
The Edge of Love,2008,R,110,"Biography, Drama, Romance            ",6.1
Shadowlands,1993,R,131,"Biography, Drama, Romance            ",7.3
The Gallows,2015,R,81,"Horror, Mystery, Thriller            ",4.2
Pat Garrett & Billy the Kid,1973,R,122,"Biography, Drama, Western            ",7.2
Whats Love Got to Do with It,1993,Not Rated,118,"Biography, Drama, Music            ",7.3
Body Snatchers,1993,R,87,"Horror, Sci-Fi            ",6.0
"Oslo, August 31st",2011,R,95,Drama            ,7.6
Easy Money,2010,Unrated,124,"Action, Crime, Drama            ",6.7
"For a Good Time, Call...",2012,R,85,Comedy            ,6.0
Betty Blue,1986,R,119,"Drama, Romance            ",7.3
Possession,1981,R,124,"Drama, Horror            ",7.3
Defending Your Life,1991,PG,112,"Comedy, Drama, Fantasy            ",7.2
Turtles Can Fly,2004,PG-13,98,"Drama, War            ",8.0
Charlottes Web,1973,G,94,"Animation, Adventure, Drama            ",6.9
Solitary Man,2009,R,90,"Comedy, Drama, Romance            ",6.3
The Young and the Damned,1950,Not Rated,80,"Crime, Drama            ",8.3
The Public Enemy,1931,Passed,83,"Crime, Drama            ",7.6
Metallica Through the Never,2013,R,93,Music            ,7.1
Edison,2005,R,99,"Action, Crime, Drama            ",5.3
Losers Club,2011,R,105,"Comedy, Drama, Romance            ",7.5
Sonatine,1993,R,94,"Action, Comedy, Crime            ",7.5
Eye of the Beholder,1999,Approved,109,"Drama, Mystery, Thriller            ",5.0
Carnival of Souls,1962,R,78,"Horror, Mystery            ",7.0
Open Water 2: Adrift,2006,G,94,"Adventure, Drama, Horror            ",5.2
The Tigger Movie,2000,PG-13,77,"Animation, Adventure, Comedy            ",6.3
Swing Kids,1993,Not Rated,112,"Drama, Music            ",6.7
Pickpocket,1959,R,76,"Crime, Drama            ",7.6
Devil in a Blue Dress,1995,G,102,"Crime, Drama, Mystery            ",6.8
Peter Pan 2: Return to Never Land,2002,Not Rated,72,"Animation, Adventure, Family            ",5.8
